2021-10-20 02:51:49,062 | 3516 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 02:51:49,065 | 3516 | tracing_of_pipeline, start, 108 | INFO | OpenFlow Tracer Start
2021-10-20 02:51:49,073 | 3516 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 02:51:49,077 | 3516 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 02:51:49,080 | 3516 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-20 02:51:49,498 | 3516 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-20 02:51:49,718 | 3516 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-20 02:51:49,941 | 3516 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-20 02:51:50,182 | 3516 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-20 02:51:50,430 | 3516 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-20 02:51:50,491 | 3516 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-20 02:51:50,629 | 3516 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-20 02:51:50,631 | 3516 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-20 02:51:50,679 | 3516 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:3652) started
2021-10-20 02:51:50,684 | 3652 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-20 02:51:50,691 | 3516 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:3654) started
2021-10-20 02:51:50,703 | 3516 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:3658) started
2021-10-20 02:51:50,704 | 3516 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-20 02:51:50,704 | 3658 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
2021-10-20 02:51:50,706 | 3654 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-20 02:51:50,710 | 3516 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
