2021-07-21 00:19:55,699 | 8617 | tracing_net.net, __init__, 96 | INFO | set up on-demand mininet
2021-07-21 00:19:55,703 | 8617 | tracing_net.net, start, 307 | INFO | mininet start
2021-07-21 00:19:55,723 | 8617 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s1)
2021-07-21 00:19:55,846 | 8617 | tracing_net.net, add_host, 159 | DEBUG | added the host (h1)
2021-07-21 00:19:55,920 | 8617 | tracing_net.net, add_link, 198 | DEBUG | added the link (l2) between s1 and h1
2021-07-21 00:19:56,008 | 8617 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s2)
2021-07-21 00:19:56,074 | 8617 | tracing_net.net, add_link, 198 | DEBUG | added the link (l1) between s1 and s2
2021-07-21 00:19:56,217 | 8617 | tracing_net.net, add_host, 159 | DEBUG | added the host (h2)
2021-07-21 00:19:56,240 | 8617 | tracing_net.net, add_link, 198 | DEBUG | added the link (l3) between s2 and h2
2021-07-21 00:19:56,374 | 8617 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth1:None) started
2021-07-21 00:19:56,386 | 8617 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth2:None) started
2021-07-21 00:19:56,385 | 8738 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth1
2021-07-21 00:19:56,402 | 8617 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s2-eth2:None) started
2021-07-21 00:19:56,411 | 8617 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-07-21 00:19:56,403 | 8740 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth2
2021-07-21 00:19:56,416 | 8742 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s2-eth2
2021-07-21 00:19:56,434 | 8617 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-07-21 00:19:56,476 | 8745 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
