2021-10-20 05:58:56,901 | 3198 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 05:58:56,905 | 3198 | tracing_of_pipeline, start, 107 | INFO | OpenFlow Tracer Start
2021-10-20 05:58:56,917 | 3198 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 05:58:56,928 | 3198 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 05:58:56,932 | 3198 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s0)
2021-10-20 05:58:57,052 | 3198 | tracing_net.net, add_host, 164 | DEBUG | added the host (h0)
2021-10-20 05:58:57,111 | 3198 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s0 and h0
2021-10-20 05:58:57,199 | 3198 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-20 05:58:57,254 | 3198 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s0 and s1
2021-10-20 05:58:57,394 | 3198 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-20 05:58:57,430 | 3198 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s1 and h1
2021-10-20 05:58:57,495 | 3198 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-20 05:58:57,495 | 3198 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-20 05:58:57,852 | 3198 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth1:3333) started
2021-10-20 05:58:57,856 | 3333 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth1
2021-10-20 05:58:57,863 | 3198 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth2:3335) started
2021-10-20 05:58:57,871 | 3198 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:3337) started
2021-10-20 05:58:57,874 | 3198 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s0
2021-10-20 05:58:57,876 | 3335 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth2
2021-10-20 05:58:57,889 | 3337 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-20 05:58:57,890 | 3198 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-20 05:58:58,059 | 3345 | tracing_net.api.ws_server, connect, 283 | INFO | connect sid=deU-8HVaGsVNPvuqAAAB
2021-10-20 05:58:58,896 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:58:58,931 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:58:58,936 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:58:58,943 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:58:58,944 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:58:58,945 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 437 | ERROR | Failed to get datapath_id s0
2021-10-20 05:58:58,947 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-20 05:58:58,948 | 3198 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634709536.929338, until=0) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': []}
2021-10-20 05:58:58,953 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709538.916176 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:58:58,984 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:58:58,985 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l2
2021-10-20 05:58:58,994 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709538.985695 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:58:58,996 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:58:58,995 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l1
2021-10-20 05:58:58,998 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l3
2021-10-20 05:58:59,896 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:58:59,932 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:58:59,934 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709539.924842 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:58:59,941 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:00,004 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709539.967766 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:00,004 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:00,905 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:59:00,933 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:59:00,936 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:00,965 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:00,980 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709540.950838 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:00,981 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709540.94273 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:00,982 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:00,990 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:01,004 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:01,007 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 437 | ERROR | Failed to get datapath_id s0
2021-10-20 05:59:01,009 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-20 05:59:01,010 | 3198 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634709536.929338, until=1) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': []}
2021-10-20 05:59:01,023 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l2
2021-10-20 05:59:01,026 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l1
2021-10-20 05:59:01,053 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l3
2021-10-20 05:59:01,896 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:59:01,932 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:59:01,935 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709541.909118 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:01,936 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:01,968 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709541.953808 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:01,972 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:02,897 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:59:02,934 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:59:02,966 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:02,966 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:02,967 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 05:59:02,970 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 437 | ERROR | Failed to get datapath_id s0
2021-10-20 05:59:02,972 | 3198 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-20 05:59:02,977 | 3198 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634709536.929338, until=2) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': []}
2021-10-20 05:59:02,978 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l2
2021-10-20 05:59:02,978 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l1
2021-10-20 05:59:02,979 | 3198 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l3
2021-10-20 05:59:02,993 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709542.965689 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:02,994 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:02,994 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709542.917026 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:02,995 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:03,896 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:59:03,908 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709543.902524 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:03,909 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:03,932 | 3344 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 05:59:03,944 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709543.939073 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:03,949 | 3344 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:04,896 | 3340 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 05:59:04,903 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634709544.900843 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 05:59:04,904 | 3340 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 05:59:04,929 | 3198 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
