2021-11-08 02:35:24,688 | 4314 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-11-08 02:35:24,701 | 4314 | tracing_of_pipeline, start, 124 | INFO | OpenFlow Tracer Start
2021-11-08 02:35:24,706 | 4314 | tracing_net.net, start, 312 | INFO | mininet start
2021-11-08 02:35:24,708 | 4314 | tracing_of_pipeline.analyzer, start_analyzing, 113 | INFO | start analyzing interval (start_time = 1636338924.708872, interval = 2)
2021-11-08 02:35:24,717 | 4314 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-11-08 02:35:24,834 | 4314 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-11-08 02:35:24,931 | 4314 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-11-08 02:35:25,015 | 4314 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-11-08 02:35:25,114 | 4314 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-11-08 02:35:25,227 | 4314 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-11-08 02:35:25,287 | 4314 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-11-08 02:35:25,415 | 4314 | tracing_net.net, add_host, 164 | DEBUG | added the host (h3)
2021-11-08 02:35:25,448 | 4314 | tracing_net.net, add_link, 203 | DEBUG | added the link (l4) between s1 and h3
2021-11-08 02:35:25,538 | 4314 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-11-08 02:35:25,543 | 4314 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-11-08 02:35:25,591 | 4314 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:4478) started
2021-11-08 02:35:25,597 | 4314 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:4480) started
2021-11-08 02:35:25,609 | 4478 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth1
2021-11-08 02:35:25,611 | 4314 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:4482) started
2021-11-08 02:35:25,613 | 4480 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth2
2021-11-08 02:35:25,616 | 4482 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s2-eth2
2021-11-08 02:35:25,632 | 4314 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth3:4486) started
2021-11-08 02:35:25,634 | 4314 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-11-08 02:35:25,643 | 4486 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth3
2021-11-08 02:35:25,646 | 4314 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-11-08 02:35:25,659 | 4489 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result NXST_FLOW_MONITOR reply (xid=0x4):
2021-11-08 02:35:25,790 | 4493 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result NXST_FLOW_MONITOR reply (xid=0x4):
2021-11-08 02:35:26,650 | 4489 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-08 02:35:26,700 | 4493 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-08 02:35:26,716 | 4314 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-08 02:35:26,717 | 4314 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-08 02:35:26,718 | 4314 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
