2021-10-29 06:59:04,979 | 4181 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-29 06:59:04,986 | 4181 | tracing_of_pipeline, start, 124 | INFO | OpenFlow Tracer Start
2021-10-29 06:59:04,994 | 4181 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-29 06:59:04,996 | 4181 | tracing_of_pipeline.analyzer, start_analyzing, 112 | INFO | start analyzing
2021-10-29 06:59:04,999 | 4181 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-29 06:59:05,119 | 4181 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-29 06:59:05,214 | 4181 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-29 06:59:05,290 | 4181 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-29 06:59:05,355 | 4181 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-29 06:59:05,529 | 4181 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-29 06:59:05,639 | 4181 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-29 06:59:05,829 | 4181 | tracing_net.net, add_host, 164 | DEBUG | added the host (h3)
2021-10-29 06:59:05,854 | 4181 | tracing_net.net, add_link, 203 | DEBUG | added the link (l4) between s1 and h3
2021-10-29 06:59:05,928 | 4181 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-29 06:59:05,928 | 4181 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-29 06:59:05,963 | 4181 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:4347) started
2021-10-29 06:59:05,968 | 4181 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:4349) started
2021-10-29 06:59:05,970 | 4347 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-29 06:59:05,973 | 4181 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:4351) started
2021-10-29 06:59:05,981 | 4349 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-29 06:59:05,981 | 4181 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth3:4353) started
2021-10-29 06:59:05,983 | 4181 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-29 06:59:05,986 | 4181 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-10-29 06:59:05,988 | 4351 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
