2021-10-20 02:23:58,205 | 13594 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 02:23:58,207 | 13594 | tracing_of_pipeline, start, 108 | INFO | OpenFlow Tracer Start
2021-10-20 02:23:58,216 | 13594 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 02:23:58,219 | 13594 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 02:23:58,223 | 13594 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-20 02:23:58,318 | 13594 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-20 02:23:58,430 | 13594 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-20 02:23:58,502 | 13594 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-20 02:23:58,562 | 13594 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-20 02:23:58,649 | 13594 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-20 02:23:58,720 | 13594 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-20 02:23:58,883 | 13594 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-20 02:23:58,884 | 13594 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-20 02:23:58,984 | 13730 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-20 02:23:58,984 | 13594 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:13730) started
2021-10-20 02:23:59,000 | 13594 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:13732) started
2021-10-20 02:23:59,008 | 13594 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:13735) started
2021-10-20 02:23:59,012 | 13594 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-20 02:23:59,019 | 13735 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
2021-10-20 02:23:59,016 | 13732 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-20 02:23:59,021 | 13594 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-10-20 02:24:00,046 | 13737 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 02:24:00,067 | 13742 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-10-20 02:24:00,132 | 13737 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634696640.076547 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-20 02:24:00,137 | 13737 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-20 02:24:00,145 | 13742 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634696640.108343 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
