2021-07-21 02:35:42,798 | 18532 | tracing_net.net, __init__, 96 | INFO | set up on-demand mininet
2021-07-21 02:35:42,810 | 18532 | tracing_net.net, start, 307 | INFO | mininet start
2021-07-21 02:35:42,818 | 18532 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s1)
2021-07-21 02:35:42,937 | 18532 | tracing_net.net, add_host, 159 | DEBUG | added the host (h1)
2021-07-21 02:35:43,007 | 18532 | tracing_net.net, add_link, 198 | DEBUG | added the link (l2) between s1 and h1
2021-07-21 02:35:43,149 | 18532 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s2)
2021-07-21 02:35:43,279 | 18532 | tracing_net.net, add_link, 198 | DEBUG | added the link (l1) between s1 and s2
2021-07-21 02:35:43,572 | 18532 | tracing_net.net, add_host, 159 | DEBUG | added the host (h2)
2021-07-21 02:35:43,634 | 18532 | tracing_net.net, add_link, 198 | DEBUG | added the link (l3) between s2 and h2
2021-07-21 02:35:43,915 | 18532 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth1:None) started
2021-07-21 02:35:43,921 | 18532 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth2:None) started
2021-07-21 02:35:43,928 | 18532 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s2-eth2:None) started
2021-07-21 02:35:43,931 | 18532 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-07-21 02:35:43,933 | 18651 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth1
2021-07-21 02:35:43,934 | 18655 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s2-eth2
2021-07-21 02:35:43,941 | 18532 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-07-21 02:35:43,944 | 18653 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth2
2021-07-21 02:35:44,044 | 18657 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 02:35:44,085 | 18661 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 02:35:44,959 | 18657 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s1
2021-07-21 02:35:44,961 | 18661 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s2
2021-07-21 02:35:45,002 | 18657 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626834944.977215 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 02:35:45,008 | 18661 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626834944.9753 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 02:35:45,902 | 18653 | tracing_net.util.packet_capture, _packet_handler, 72 | DEBUG | sniff 1626834945.792311134 : <class 'pyshark.packet.packet.Packet'>
