2021-08-02 04:52:22,618 | 11838 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-08-02 04:52:22,641 | 11838 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-08-02 04:52:22,830 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50714) is connected
2021-08-02 04:52:22,846 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:23,315 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50718) is connected
2021-08-02 04:52:23,316 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:23,840 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50722) is connected
2021-08-02 04:52:23,842 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:24,368 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50726) is connected
2021-08-02 04:52:24,372 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50728) is connected
2021-08-02 04:52:24,397 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:24,397 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:25,429 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50734) is connected
2021-08-02 04:52:25,435 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50736) is connected
2021-08-02 04:52:25,453 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:25,459 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:26,336 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50742) is connected
2021-08-02 04:52:26,342 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50744) is connected
2021-08-02 04:52:26,363 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:26,454 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:26,786 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:26,792 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:27,337 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50750) is connected
2021-08-02 04:52:27,339 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50752) is connected
2021-08-02 04:52:27,341 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:27,343 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:28,555 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50758) is connected
2021-08-02 04:52:28,612 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50760) is connected
2021-08-02 04:52:28,613 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:28,614 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:28,807 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:28,808 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:29,315 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50766) is connected
2021-08-02 04:52:29,319 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50768) is connected
2021-08-02 04:52:29,322 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:29,324 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:30,318 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50774) is connected
2021-08-02 04:52:30,356 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50776) is connected
2021-08-02 04:52:30,439 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:30,442 | 11838 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-08-02 04:52:30,785 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:30,790 | 11408 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-08-02 04:52:31,326 | 11838 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50782) is connected
