2021-07-21 02:22:11,678 | 16022 | tracing_net.net, __init__, 96 | INFO | set up on-demand mininet
2021-07-21 02:22:11,691 | 16022 | tracing_net.net, start, 307 | INFO | mininet start
2021-07-21 02:22:11,736 | 16022 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s1)
2021-07-21 02:22:11,877 | 16022 | tracing_net.net, add_host, 159 | DEBUG | added the host (h1)
2021-07-21 02:22:11,978 | 16022 | tracing_net.net, add_link, 198 | DEBUG | added the link (l2) between s1 and h1
2021-07-21 02:22:12,085 | 16022 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s2)
2021-07-21 02:22:12,189 | 16022 | tracing_net.net, add_link, 198 | DEBUG | added the link (l1) between s1 and s2
2021-07-21 02:22:12,547 | 16022 | tracing_net.net, add_host, 159 | DEBUG | added the host (h2)
2021-07-21 02:22:12,606 | 16022 | tracing_net.net, add_link, 198 | DEBUG | added the link (l3) between s2 and h2
2021-07-21 02:22:12,972 | 16022 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth1:None) started
2021-07-21 02:22:12,984 | 16145 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth1
2021-07-21 02:22:12,988 | 16022 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth2:None) started
2021-07-21 02:22:13,001 | 16147 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth2
2021-07-21 02:22:13,007 | 16022 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s2-eth2:None) started
2021-07-21 02:22:13,011 | 16022 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-07-21 02:22:13,025 | 16149 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s2-eth2
2021-07-21 02:22:13,031 | 16022 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-07-21 02:22:13,167 | 16153 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 02:22:13,218 | 16157 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 02:22:14,039 | 16153 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s1
2021-07-21 02:22:14,111 | 16157 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s2
2021-07-21 02:22:14,123 | 16153 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626834134.050705 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 02:22:14,177 | 16157 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626834134.151111 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 02:22:15,036 | 16153 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s1
2021-07-21 02:22:15,065 | 16022 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
